"ip1","ip2","ip3","ip4","tepat"
3.38,3.06,2.96,3.28,Ya
3.39,3.20,3.26,3.55,Ya
3.55,3.53,3.60,3.64,Ya
3.22,3.00,2.96,3.25,Ya
3.19,3.03,3.24,3.28,Ya
3.19,3.33,3.37,3.69,Ya
3.03,3.25,3.25,3.53,Ya
3.15,3.52,3.55,3.76,Ya
3.20,3.57,3.49,3.68,Ya
3.17,3.36,3.80,3.74,Ya
3.16,3.51,3.67,3.55,Ya
3.11,3.04,3.16,3.27,Ya
2.99,3.06,3.32,3.36,Ya
3.15,3.43,3.41,3.73,Ya
3.14,3.32,3.37,3.56,Ya
3.12,3.49,3.53,3.75,Ya
3.06,3.05,3.18,3.36,Ya
3.01,3.10,3.11,3.40,Ya
3.02,3.05,3.26,3.38,Ya
3.02,2.99,3.21,3.47,Ya
3.08,3.05,3.22,3.49,Ya
3.09,3.14,3.32,3.39,Ya
3.00,3.05,3.09,3.44,Ya
3.17,3.26,3.62,3.66,Ya
3.02,3.11,3.11,3.26,Ya
2.73,3.23,3.29,2.94,Ya
3.04,3.15,3.56,2.92,Ya
3.22,3.38,3.61,3.81,Ya
2.94,2.80,3.63,2.85,Ya
2.38,2.98,3.35,2.73,Ya
3.04,2.96,3.15,3.54,Ya
3.57,3.25,3.35,3.20,Ya
3.40,3.29,3.52,3.05,Ya
3.52,3.29,3.58,3.18,Ya
3.57,3.35,3.58,3.45,Ya
3.43,3.38,3.54,3.11,Ya
3.59,3.50,3.58,3.30,Ya
3.36,3.35,3.35,3.02,Ya
3.68,3.65,3.71,3.52,Ya
3.36,3.42,3.29,3.10,Ya
3.34,3.27,3.52,3.07,Ya
3.30,3.23,3.55,3.07,Tidak
3.18,3.33,3.43,3.00,Ya
3.05,3.21,3.43,3.05,Tidak
3.32,3.35,3.52,3.28,Ya
3.57,3.27,3.23,3.09,Ya
3.45,3.29,3.64,3.39,Ya
3.09,3.25,3.42,3.14,Ya
3.11,3.19,3.06,3.12,Tidak
3.59,3.46,3.62,3.45,Ya
3.30,3.46,3.55,3.25,Ya
3.30,3.27,3.56,3.28,Ya
3.22,3.06,3.42,3.05,Ya
3.27,3.34,3.59,3.11,Ya
3.52,3.23,3.48,3.28,Ya
3.77,3.52,3.57,3.41,Ya
3.68,3.58,3.72,3.45,Ya
3.18,3.04,3.38,3.14,Ya
3.25,3.21,3.23,3.22,Ya
3.25,3.08,3.31,2.91,Tidak
3.32,3.59,3.45,3.30,Ya
3.36,3.35,3.33,3.34,Ya
3.14,3.27,3.52,3.08,Ya
3.19,3.25,3.58,3.50,Ya
2.91,3.06,3.32,3.38,Tidak
3.23,3.30,3.15,3.39,Ya
3.43,3.60,3.38,3.59,Ya
3.57,3.67,3.48,3.57,Ya
3.16,3.31,3.05,3.61,Ya
3.59,3.67,3.52,3.64,Ya
3.34,3.19,2.98,3.39,Ya
3.50,3.55,3.65,3.66,Ya
3.50,3.58,3.48,3.61,Ya
3.36,3.34,3.44,3.59,Ya
3.50,3.66,3.41,3.57,Ya
3.57,3.59,3.33,3.52,Ya
3.58,3.52,3.38,3.59,Ya
3.64,3.54,3.43,3.66,Ya
3.50,3.48,3.31,3.50,Ya
3.45,3.50,3.67,3.70,Ya
3.50,3.58,3.48,3.68,Ya
3.09,3.52,3.48,3.66,Ya
3.55,3.52,3.52,3.61,Ya
3.62,3.62,3.54,3.68,Ya
3.27,3.45,3.62,3.75,Ya
3.60,3.73,3.54,3.61,Ya
3.30,3.50,3.20,3.41,Ya
3.61,3.59,3.36,3.66,Ya
3.61,3.54,3.35,3.73,Ya
3.43,3.38,3.46,3.66,Ya
3.66,3.62,3.71,3.68,Ya
3.36,3.42,3.25,3.34,Ya
3.35,3.27,3.27,3.43,Ya
3.15,2.86,3.52,3.08,Tidak
3.57,3.65,3.60,3.80,Ya
3.43,3.47,3.43,3.59,Ya
3.38,3.47,3.27,3.55,Ya
3.65,3.31,3.64,3.14,Ya
3.38,3.33,3.23,3.59,Ya
3.48,3.42,3.33,3.30,Ya
3.12,3.40,3.27,3.30,Ya
3.09,3.40,3.38,3.20,Ya
3.64,3.69,3.64,3.59,Ya
3.05,3.08,3.15,3.20,Ya
3.26,3.40,3.38,3.43,Ya
3.58,3.55,3.46,3.36,Ya
3.08,3.38,3.00,3.14,Ya
3.06,3.30,3.33,3.34,Ya
2.98,2.68,3.16,3.15,Ya
3.35,3.25,3.27,3.25,Ya
3.05,3.06,3.17,2.91,Ya
3.20,3.23,3.29,3.27,Ya
3.69,3.71,3.67,3.57,Ya
3.40,2.98,3.25,3.23,Ya
3.52,3.50,3.59,3.64,Ya
3.52,3.38,3.52,3.64,Ya
3.65,3.47,3.46,3.66,Ya
3.71,3.60,3.71,3.55,Ya
3.52,3.31,3.52,3.48,Ya
3.65,3.40,3.65,3.58,Ya
3.60,3.40,3.54,3.66,Ya
3.62,3.60,3.52,3.68,Ya
3.73,3.62,3.67,3.75,Ya
3.42,2.97,3.29,3.24,Ya
3.60,3.31,3.44,3.73,Ya
3.54,3.40,3.48,3.68,Ya
3.54,3.58,3.56,3.89,Ya
3.73,3.54,3.64,3.70,Ya
3.52,3.46,3.45,3.73,Ya
3.67,3.56,3.50,3.57,Ya
2.71,3.39,3.39,3.43,Ya
3.58,3.42,3.27,3.67,Ya
3.48,3.08,3.40,3.50,Ya
3.17,3.35,3.33,3.34,Tidak
3.32,3.21,3.44,3.39,Ya
3.53,3.62,3.65,3.50,Ya
3.45,3.48,3.58,3.80,Ya
3.35,3.48,3.66,3.32,Tidak
3.40,3.44,3.33,3.48,Ya
3.31,3.32,3.30,3.47,Ya
3.44,3.45,3.38,3.46,Ya
3.27,3.18,3.27,3.45,Ya
3.19,3.27,3.40,3.52,Ya
3.38,3.43,3.27,3.42,Ya
3.29,3.27,3.20,3.42,Ya
3.45,3.20,3.34,3.40,Ya
3.52,3.43,3.30,3.47,Ya
3.44,3.39,3.32,3.38,Ya
3.54,3.52,3.46,3.56,Ya
3.19,3.43,2.00,3.33,Ya
3.48,2.96,3.29,3.36,Ya
3.60,3.27,3.50,3.47,Ya
3.46,3.30,3.38,3.43,Ya
3.52,3.57,3.46,3.54,Ya
3.31,3.14,3.27,3.38,Ya
3.19,3.16,3.38,3.45,Ya
3.06,3.14,3.44,3.48,Ya
3.17,3.05,3.38,3.50,Ya
2.88,2.98,3.35,3.54,Tidak
2.98,3.25,3.31,3.46,Ya
3.27,3.11,3.33,3.52,Ya
3.06,3.16,3.48,3.52,Tidak
3.12,3.14,3.27,3.47,Tidak
3.15,3.05,3.48,3.58,Ya
3.03,3.11,3.29,3.43,Tidak
3.10,3.11,3.33,3.48,Ya
3.00,3.09,3.17,3.46,Ya
3.00,3.20,3.27,3.52,Ya
3.12,3.11,3.23,3.48,Ya
3.25,3.41,3.40,3.48,Ya
3.08,3.52,3.40,3.45,Ya
3.38,3.34,3.50,3.44,Ya
3.21,3.25,3.44,3.46,Ya
3.15,3.41,3.25,3.55,Ya
3.23,3.43,3.35,3.54,Ya
3.10,3.20,3.42,3.46,Ya
3.10,3.18,3.33,3.53,Ya
3.06,3.27,3.35,3.48,Ya
3.29,3.50,3.50,3.48,Ya
3.19,3.27,3.25,3.46,Ya
3.06,3.30,3.35,3.47,Ya
3.48,3.64,3.56,3.54,Ya
3.14,3.43,3.31,3.46,Ya
3.15,3.33,3.46,3.46,Ya
3.18,3.11,3.34,3.47,Ya
2.99,3.28,3.09,3.45,Tidak
3.31,3.47,3.34,3.36,Ya
3.48,3.70,3.50,3.38,Ya
3.43,3.25,3.07,3.08,Ya
3.27,3.75,3.58,3.46,Ya
3.48,3.50,3.55,3.35,Ya
3.39,3.47,3.42,3.33,Ya
3.62,3.67,3.63,3.67,Ya
3.58,3.31,3.53,3.50,Ya
3.23,3.47,3.48,3.38,Ya
3.70,3.53,3.66,3.65,Ya
3.64,3.54,3.55,3.54,Ya
3.46,3.55,3.55,3.30,Ya
3.08,3.18,2.50,3.30,Ya
3.46,3.23,3.54,3.39,Ya
3.52,3.41,3.45,3.27,Ya
3.00,2.95,3.31,3.20,Ya
3.26,3.25,3.54,3.40,Ya
2.96,2.98,3.33,3.43,Ya
3.22,3.15,3.12,3.16,Ya
3.30,3.23,3.27,3.48,Ya
3.07,3.41,3.42,3.34,Ya
3.56,3.45,3.38,3.35,Ya
3.40,3.16,3.29,3.28,Ya
3.45,3.36,2.48,3.08,Ya
3.65,3.34,3.54,3.45,Ya
3.59,3.18,3.38,3.56,Ya
3.46,3.25,3.31,3.20,Ya
3.53,3.34,3.33,3.45,Ya
3.67,3.30,3.44,3.41,Ya
3.71,3.45,3.54,3.43,Ya
3.72,3.39,3.58,3.64,Ya
3.46,3.25,3.44,3.50,Ya
3.71,3.30,3.42,3.48,Ya
3.70,3.30,3.38,3.59,Ya
3.58,3.37,3.50,3.42,Ya
3.47,3.36,3.55,3.55,Ya
3.47,3.42,3.53,3.65,Ya
3.52,3.61,3.37,3.35,Ya
3.42,3.59,3.06,3.42,Ya
3.22,3.45,3.36,3.32,Ya
3.56,3.66,3.49,3.52,Ya
3.58,3.77,3.51,3.52,Ya
3.22,3.33,3.07,3.10,Ya
3.16,3.40,3.05,3.20,Ya
3.12,3.50,3.48,3.35,Tidak
3.09,3.34,3.32,3.05,Ya
3.17,3.25,3.51,3.58,Ya
3.25,3.33,3.42,3.52,Ya
3.55,3.58,3.61,3.55,Ya
3.41,3.33,3.50,3.45,Ya
3.56,3.53,3.57,3.60,Ya
3.28,3.28,3.32,3.45,Ya
3.30,3.25,3.44,3.62,Ya
3.34,3.45,3.45,3.62,Ya
3.06,3.32,3.21,3.02,Ya
3.42,3.45,3.29,3.18,Tidak
3.57,3.45,3.65,3.62,Ya
3.39,3.30,3.56,3.55,Ya
3.31,3.50,3.58,3.66,Ya
2.93,3.22,3.47,3.00,Ya
2.72,3.22,3.22,2.86,Ya
3.52,3.18,3.40,3.18,Ya
3.35,3.19,3.42,3.40,Ya
3.11,3.31,3.22,3.19,Ya
3.01,3.14,2.48,2.90,Ya
3.44,3.36,3.25,3.28,Ya
3.28,3.56,2.82,3.44,Ya
3.03,3.28,3.31,3.17,Ya
3.21,3.28,3.38,3.30,Ya
2.95,3.16,3.01,2.82,Ya
3.31,3.40,3.16,3.20,Ya
3.10,2.81,3.28,3.30,Ya
3.31,3.47,2.83,2.93,Ya
3.05,3.03,3.03,2.93,Tidak
3.31,3.44,3.24,3.50,Ya
3.44,3.62,3.67,3.60,Ya
3.22,3.45,3.38,3.62,Ya
3.15,3.53,3.62,3.62,Ya
3.24,3.39,3.51,3.42,Ya
3.25,3.48,3.35,3.38,Ya
3.47,3.58,3.73,3.70,Ya
3.38,3.47,3.52,3.52,Ya
3.33,3.48,3.48,3.78,Ya
3.11,3.25,3.49,3.50,Ya
3.46,3.58,3.67,3.60,Ya
3.12,3.42,3.55,3.50,Ya
3.28,3.50,3.44,3.60,Ya
3.31,3.20,3.36,3.40,Ya
3.39,3.62,3.62,3.52,Ya
3.19,3.40,3.48,3.39,Ya
3.47,3.62,3.58,3.70,Ya
3.32,3.58,3.49,3.55,Ya
3.40,3.50,3.58,3.58,Ya
3.12,3.25,3.26,3.07,Ya
3.70,3.78,3.71,3.55,Ya
2.83,3.61,3.25,3.24,Tidak
3.61,3.68,3.39,3.32,Ya
3.26,3.54,2.99,3.16,Ya
3.54,3.69,3.28,3.51,Ya
3.28,3.51,3.72,3.31,Ya
3.00,3.14,3.30,3.02,Ya
3.10,3.08,3.53,3.22,Ya
3.07,3.20,3.63,3.48,Ya
3.17,3.17,3.47,3.34,Ya
3.52,3.10,3.37,3.32,Ya
3.40,3.10,3.21,3.20,Ya
3.20,3.20,3.32,3.04,Ya
2.78,3.18,3.38,3.25,Tidak
3.41,3.46,3.53,3.63,Ya
3.28,3.35,3.54,3.39,Ya
3.52,3.41,3.49,3.14,Ya
3.43,3.49,3.75,3.65,Ya
3.10,3.28,3.11,3.12,Ya
3.45,3.11,3.73,3.52,Ya
3.00,3.17,3.68,3.01,Ya
3.32,3.21,2.99,2.93,Ya
3.33,3.61,3.58,3.34,Ya
3.28,3.28,3.54,3.33,Ya
3.44,3.41,3.67,3.39,Ya
3.45,3.58,3.67,3.44,Ya
3.38,3.30,3.66,3.46,Ya
3.38,3.48,3.64,3.49,Ya
3.50,3.62,3.54,3.62,Ya
3.45,3.40,3.41,3.55,Ya
3.52,3.30,3.51,3.38,Ya
3.32,3.27,3.45,3.32,Ya
3.45,3.16,3.38,3.35,Ya
3.45,3.35,3.51,3.51,Ya
3.48,3.74,3.74,3.51,Ya
3.38,3.61,3.45,3.49,Ya
3.48,3.57,3.64,3.59,Ya
3.45,3.60,3.54,3.65,Ya
3.45,3.46,3.51,3.67,Ya
3.52,3.35,3.54,3.49,Ya
3.08,3.21,3.18,3.12,Ya
3.35,3.23,3.38,3.38,Ya
3.25,3.28,3.38,3.61,Ya
3.50,3.50,3.25,3.64,Ya
3.31,3.20,2.79,2.94,Ya
2.98,3.06,3.38,3.30,Ya
3.42,3.28,3.48,3.41,Ya
3.28,3.10,3.28,3.31,Ya
3.52,3.64,3.58,3.20,Ya
3.48,3.60,3.45,3.66,Ya
3.03,3.51,3.29,3.53,Ya
3.15,3.30,3.45,3.71,Ya
3.02,3.08,2.97,3.09,Ya
3.02,3.28,3.35,3.55,Ya
3.00,3.11,3.36,3.63,Ya
3.20,3.09,3.37,3.53,Ya
3.11,3.07,3.12,3.29,Ya
2.98,3.14,3.32,3.53,Ya
2.95,3.19,3.15,3.03,Ya
2.90,3.12,2.97,3.19,Ya
3.11,3.21,3.18,3.53,Ya
2.98,3.19,3.61,3.35,Ya
3.30,3.33,3.41,3.16,Ya
3.55,3.45,2.92,3.23,Tidak
3.23,3.15,3.07,3.30,Ya
3.21,3.33,3.24,3.32,Ya
3.39,3.13,3.21,3.36,Ya
3.60,3.65,3.49,3.36,Ya
3.19,3.31,3.13,3.23,Ya
3.76,3.80,3.79,3.51,Ya
3.36,3.42,3.36,3.18,Ya
3.05,3.43,3.38,3.33,Ya
3.26,3.37,3.33,3.26,Ya
3.43,3.27,3.32,3.32,Ya
3.38,3.38,3.48,3.26,Ya
3.28,3.38,3.51,3.54,Ya
3.25,3.19,3.35,3.33,Ya
3.19,3.32,3.38,3.22,Ya
3.24,3.39,3.45,3.22,Ya
3.57,3.50,3.57,3.32,Ya
3.31,3.45,3.58,3.35,Ya
3.40,3.68,3.40,3.36,Ya
3.61,3.65,3.54,3.29,Tidak
3.73,3.74,3.57,3.39,Ya
3.33,3.40,3.44,3.26,Ya
3.36,3.32,3.36,3.28,Tidak
2.86,2.26,2.84,3.20,Tidak
2.78,3.09,3.45,3.30,Ya
3.07,3.27,3.38,3.26,Ya
2.77,3.04,3.36,3.07,Ya
2.45,2.28,2.17,3.36,Ya
1.45,1.09,2.59,2.66,Tidak
2.95,2.95,3.24,3.19,Ya
2.19,2.43,2.43,3.17,Tidak
3.17,3.54,3.42,3.49,Ya
2.75,3.17,2.93,3.33,Ya
2.59,3.28,3.36,3.58,Tidak
3.08,3.11,3.18,3.42,Ya
3.12,3.58,3.45,3.66,Ya
3.32,3.60,3.70,3.65,Ya
2.89,3.34,3.27,3.72,Tidak
2.58,2.75,2.61,3.65,Tidak
2.57,1.64,3.21,1.75,Tidak
3.06,2.39,3.53,1.75,Ya
2.80,2.39,2.24,1.75,Ya
3.02,2.77,2.60,3.50,Ya
2.98,2.80,3.49,3.25,Ya
2.86,2.78,3.03,3.50,Ya
3.11,2.88,2.34,3.50,Ya
3.32,2.95,3.47,3.50,Ya
3.14,2.93,3.60,3.50,Ya
3.25,3.16,3.66,3.50,Ya
3.39,2.85,3.16,3.50,Tidak
2.89,3.32,3.45,3.25,Ya
3.05,2.92,3.17,3.20,Ya
3.13,3.32,3.29,3.06,Tidak
3.16,3.12,3.19,3.35,Ya
3.31,3.04,3.25,3.38,Ya
2.40,2.41,2.87,3.17,Tidak
3.28,3.31,3.33,3.04,Ya
3.36,3.44,3.35,3.26,Ya
3.63,3.45,3.48,3.44,Ya
3.18,3.38,3.25,3.09,Tidak
3.65,3.76,3.20,3.37,Ya
2.89,3.27,2.68,2.12,Tidak
3.12,3.00,3.12,3.11,Tidak
3.29,3.41,3.26,2.99,Tidak
3.59,3.62,3.34,3.38,Tidak
2.94,3.26,3.32,1.68,Tidak
3.29,3.30,3.24,3.08,Ya
3.15,3.26,3.05,2.79,Ya
3.50,3.44,3.56,3.38,Ya
3.17,3.19,3.23,3.12,Ya
3.50,3.53,3.37,3.04,Ya
3.34,3.38,3.39,3.27,Ya
3.41,3.47,3.60,3.18,Ya
3.25,3.38,3.44,3.20,Ya
3.39,3.59,3.55,3.29,Ya
3.34,3.26,3.32,3.02,Ya
3.48,3.41,3.61,3.36,Ya
3.58,3.51,3.30,3.04,Ya
3.49,3.49,3.63,3.51,Ya
2.89,2.77,2.71,2.65,Ya
3.20,3.24,3.20,3.08,Ya
3.30,3.49,3.49,3.47,Ya
3.43,3.50,3.23,3.18,Ya
3.08,2.92,2.75,2.89,Ya
3.14,3.05,2.83,2.98,Ya
3.28,3.48,3.42,3.09,Ya
3.01,2.90,2.71,2.76,Ya
3.20,3.15,3.15,2.92,Ya
3.47,3.41,3.42,3.17,Ya
3.38,3.41,3.14,2.97,Ya
3.53,3.39,3.56,3.20,Ya
3.53,3.69,3.73,3.78,Ya
3.12,3.12,3.18,3.18,Ya
3.32,3.40,3.30,3.22,Ya
3.34,3.49,3.52,3.38,Ya
3.38,3.45,3.55,3.12,Ya
3.19,3.15,3.06,2.99,Ya
3.60,3.48,3.60,3.27,Ya
3.07,3.17,3.01,3.26,Ya
3.25,3.24,3.29,3.53,Ya
3.08,3.19,3.00,3.40,Ya
3.40,3.32,3.42,3.66,Ya
3.50,3.60,3.76,3.75,Ya
3.20,3.14,3.29,3.40,Ya
3.30,3.35,3.39,3.60,Ya
3.52,3.76,3.78,3.91,Ya
3.09,3.12,3.03,3.18,Ya
3.11,3.15,3.11,3.33,Ya
3.22,3.30,3.51,3.59,Ya
3.07,3.21,3.11,3.41,Ya
3.17,3.23,3.18,3.45,Ya
3.22,3.19,3.09,3.39,Ya
3.19,3.37,3.58,3.60,Ya
3.07,3.20,3.16,3.32,Ya
3.32,3.39,3.50,3.66,Ya
3.24,3.54,3.67,3.60,Ya
3.17,3.29,3.30,3.49,Ya
3.16,3.14,3.12,3.35,Ya
3.11,3.11,3.05,3.20,Ya
3.22,3.17,3.13,3.36,Ya
3.30,3.26,3.39,3.50,Ya
3.31,3.51,3.45,3.62,Ya
2.86,2.73,3.36,3.15,Tidak
3.30,3.55,3.44,3.65,Ya
2.97,2.75,3.36,3.01,Ya
3.08,2.91,3.43,3.37,Tidak
3.14,3.11,3.21,3.20,Ya
3.15,3.05,3.43,3.09,Ya
2.90,2.75,3.09,3.11,Ya
3.61,3.62,3.68,3.25,Ya
3.60,3.50,3.35,3.18,Ya
3.60,3.75,3.61,3.45,Ya
3.25,3.50,3.54,3.39,Ya
3.75,3.50,3.68,3.66,Ya
3.40,3.42,3.64,3.32,Ya
3.52,3.84,3.67,3.50,Ya
3.18,3.21,3.36,3.48,Ya
3.12,3.00,3.23,3.34,Ya
3.12,3.00,3.40,3.35,Ya
3.23,2.96,3.19,3.32,Ya
3.31,3.15,3.27,3.34,Ya
3.05,2.92,3.00,3.38,Ya
3.14,3.23,3.25,3.45,Ya
3.06,3.12,3.00,3.31,Ya
3.25,3.02,3.32,3.43,Ya
3.18,3.12,3.41,3.52,Ya
3.00,2.85,2.81,3.35,Ya
3.23,3.28,3.54,3.57,Ya
3.15,3.05,3.27,3.52,Ya
3.18,2.93,3.16,3.08,Ya
3.00,3.23,3.39,3.43,Ya
3.03,3.02,3.23,3.43,Ya
3.25,2.96,3.36,3.45,Ya
3.12,3.10,3.32,3.48,Ya
3.28,3.23,3.18,3.36,Ya
3.09,3.09,3.48,3.50,Ya
3.07,2.89,3.25,3.35,Ya
3.11,2.90,3.23,3.45,Ya
3.12,3.20,3.06,3.32,Ya
3.02,3.15,3.23,3.29,Ya
3.02,3.19,3.34,3.41,Ya
3.14,3.45,3.42,3.43,Ya
3.30,3.58,3.48,3.52,Ya
2.86,3.21,3.08,3.19,Ya
3.07,3.23,3.38,3.43,Ya
3.22,3.40,3.30,3.45,Ya
3.30,3.42,3.29,3.43,Ya
3.10,3.17,3.32,3.23,Ya
3.25,3.40,3.36,3.43,Ya
3.10,3.10,3.25,3.35,Ya
3.33,3.50,3.31,3.52,Ya
3.09,3.37,3.23,3.34,Ya
3.22,3.31,3.30,3.45,Ya
3.02,3.48,3.15,3.33,Ya
3.20,3.15,3.35,3.40,Ya
3.11,3.19,3.32,3.48,Ya
3.48,3.35,3.48,3.34,Ya
3.38,3.27,3.48,3.58,Ya
3.55,3.50,3.42,3.55,Ya
3.40,3.62,3.55,3.55,Ya
3.45,3.38,3.45,3.55,Ya
3.55,3.65,3.59,3.61,Ya
3.52,3.44,3.36,3.43,Ya
3.68,3.67,3.41,3.61,Ya
3.65,3.48,3.39,3.64,Ya
3.42,3.48,3.33,3.50,Ya
3.42,3.62,3.42,3.59,Ya
3.48,3.44,3.41,3.48,Ya
3.52,3.50,3.41,3.48,Ya
3.48,3.50,3.41,3.57,Ya
3.52,3.52,3.48,3.66,Ya
3.60,3.42,3.39,3.59,Ya
3.55,3.60,3.34,3.41,Ya
3.50,3.46,3.32,3.39,Ya
3.34,3.61,3.20,3.45,Ya
3.52,3.40,3.36,3.52,Ya
3.45,3.44,3.23,3.32,Ya
3.48,3.50,3.36,3.34,Ya
3.65,3.56,3.25,3.55,Ya
3.55,3.39,3.45,3.50,Ya
3.62,3.62,3.43,3.52,Ya
3.28,3.27,3.27,3.48,Ya
3.50,3.65,3.23,3.52,Ya
3.48,3.60,3.34,3.43,Ya
3.75,3.81,3.64,3.73,Ya
3.45,3.40,3.36,3.48,Ya
3.48,3.50,3.27,3.57,Ya
3.58,3.58,3.48,3.48,Ya
3.61,3.42,3.25,3.50,Ya
3.42,3.60,3.45,3.55,Ya
3.10,3.14,3.39,3.39,Ya
3.55,3.46,3.39,3.64,Ya
3.58,3.62,3.45,3.57,Ya
3.62,3.75,3.52,3.59,Ya
3.00,2.94,3.07,3.50,Ya
3.44,3.35,3.16,3.50,Ya
3.46,3.06,3.39,3.45,Ya
3.34,3.32,3.27,3.25,Ya
3.11,3.38,2.94,3.20,Ya
3.30,3.35,3.38,3.18,Ya
3.48,3.64,3.42,3.28,Ya
3.25,3.34,3.32,3.38,Ya
3.20,3.48,3.15,3.22,Ya
3.50,3.50,3.47,3.25,Ya
3.32,3.55,3.25,3.20,Ya
3.23,3.32,3.23,3.25,Ya
3.18,3.23,3.05,3.15,Ya
3.20,3.43,3.48,3.62,Ya
3.45,3.45,3.15,3.06,Ya
3.64,3.52,3.57,3.55,Ya
3.32,3.55,3.25,3.18,Ya
3.39,3.00,2.98,2.67,Ya
3.09,3.28,3.18,3.30,Ya
3.36,3.36,3.23,3.20,Ya
3.14,3.32,3.16,2.71,Ya
3.34,2.91,3.30,3.28,Ya
3.45,3.39,3.35,3.39,Ya
3.36,3.50,3.32,3.20,Ya
3.32,3.40,3.25,3.28,Ya
3.43,3.41,3.32,3.50,Ya
3.17,3.43,3.45,3.10,Ya
3.48,3.41,3.18,3.35,Ya
3.55,3.45,3.19,3.38,Ya
3.41,3.62,3.48,3.38,Ya
3.05,3.46,3.23,3.41,Ya
3.20,3.25,2.91,3.16,Ya
3.16,3.43,3.35,3.48,Ya
2.94,3.22,2.90,3.27,Ya
3.30,3.45,3.30,3.40,Ya
3.60,3.50,3.57,3.70,Ya
3.55,3.42,3.40,3.59,Ya
3.55,3.57,3.59,3.62,Ya
3.68,3.75,3.73,3.62,Ya
3.20,3.35,3.52,3.62,Ya
3.50,3.40,3.52,3.55,Ya
3.50,3.45,3.27,3.38,Ya
3.32,3.45,3.27,3.23,Ya
3.42,3.42,3.41,3.75,Ya
3.64,3.55,3.57,3.68,Ya
3.36,3.35,3.43,3.52,Ya
3.52,3.65,3.57,3.52,Ya
3.45,3.22,3.39,3.40,Ya
3.27,3.45,3.45,3.55,Ya
3.73,3.48,3.55,3.68,Ya
3.55,3.58,3.30,3.45,Ya
3.48,3.48,3.50,3.42,Ya
3.39,3.44,3.25,3.35,Ya
3.34,3.22,3.50,3.15,Ya
3.50,3.25,3.25,3.38,Ya
3.39,3.30,3.56,3.45,Ya
3.52,3.58,3.20,3.60,Ya
3.45,3.45,3.61,3.40,Ya
3.64,3.55,3.61,3.72,Ya
3.50,3.60,3.45,3.55,Ya
3.62,3.43,3.34,3.43,Ya
3.08,3.43,3.29,3.13,Ya
3.21,3.43,2.88,3.21,Ya
3.23,3.36,3.04,3.44,Ya
3.25,3.23,3.15,3.16,Ya
2.98,3.25,3.23,3.41,Ya
3.19,3.27,3.06,3.39,Tidak
3.29,3.25,3.12,3.46,Ya
3.33,3.25,3.27,3.25,Ya
3.02,3.27,3.11,3.46,Ya
3.25,3.23,3.10,3.44,Ya
3.61,3.55,3.43,3.70,Ya
3.50,3.32,3.08,3.38,Ya
3.56,3.41,3.48,3.46,Ya
3.48,3.41,3.35,3.52,Ya
2.98,3.16,3.33,3.35,Ya
3.50,3.27,3.15,3.34,Ya
3.31,3.20,3.12,3.46,Ya
3.46,3.27,3.12,3.46,Ya
3.27,3.41,3.23,3.69,Ya
3.48,3.48,3.58,3.65,Ya
3.52,3.09,3.31,3.62,Ya
3.50,3.02,2.96,3.32,Ya
3.50,3.39,3.29,3.50,Ya
3.42,3.50,3.35,3.50,Ya
3.08,3.47,3.12,3.46,Ya
3.44,3.36,3.23,3.48,Ya
3.29,3.11,3.10,3.27,Ya
3.34,3.32,3.38,3.33,Ya
3.33,3.23,3.42,3.48,Ya
3.34,3.00,3.52,3.40,Ya
3.48,3.18,3.44,3.58,Ya
3.44,3.27,3.31,3.44,Ya
3.33,3.25,3.42,3.31,Ya
3.40,3.34,3.44,3.60,Ya
3.25,3.25,3.35,3.50,Ya
3.29,2.95,3.40,3.42,Ya
3.46,3.20,3.50,3.54,Ya
3.40,3.39,3.48,3.62,Ya
3.31,3.27,3.52,3.56,Ya
3.35,3.34,3.48,3.62,Ya
3.48,3.27,3.50,3.60,Ya
3.40,3.25,3.50,3.58,Ya
3.35,3.34,3.48,3.58,Ya
3.38,3.27,3.52,3.56,Ya
3.42,3.27,3.38,3.62,Ya
3.33,3.23,3.46,3.60,Ya
3.38,3.39,3.56,3.67,Ya
3.42,3.36,3.50,3.58,Ya
3.25,3.34,3.44,3.60,Ya
3.38,3.41,3.40,3.56,Ya
3.38,3.16,3.50,3.56,Ya
3.29,3.41,3.38,3.48,Ya
3.35,3.39,3.48,3.58,Ya
3.46,3.59,3.25,3.12,Ya
3.52,3.31,3.14,3.32,Tidak
3.39,3.33,3.27,3.35,Ya
3.50,3.52,3.23,3.48,Ya
3.61,3.44,3.14,3.65,Ya
3.57,3.33,3.18,3.52,Ya
3.52,3.44,3.23,3.43,Ya
3.59,3.40,3.11,3.45,Ya
3.39,3.16,3.07,3.14,Ya
3.43,3.04,3.34,3.45,Ya
3.48,3.52,3.42,3.48,Ya
3.66,3.60,3.23,3.45,Ya
3.43,3.48,3.02,2.92,Ya
3.55,3.44,3.11,3.38,Ya
3.59,3.75,3.43,3.50,Ya
3.59,3.56,3.41,3.48,Ya
3.75,3.90,3.55,3.72,Ya
3.33,3.56,3.20,3.45,Ya
3.64,3.62,3.43,3.42,Ya
3.45,3.46,3.27,3.48,Ya
3.64,3.60,3.41,3.50,Ya
3.40,3.25,3.19,3.15,Ya
3.35,3.42,3.50,3.39,Ya
3.22,3.33,3.46,3.25,Ya
3.00,3.32,3.40,3.31,Ya
